iter	Passed	Remaining
0	0	75
1	1	68
2	2	65
3	2	61
4	3	60
5	3	59
6	4	58
7	5	57
8	5	56
9	6	56
10	6	55
11	7	55
12	8	54
13	8	53
14	9	52
15	9	51
16	10	50
17	11	50
18	11	49
19	12	48
20	12	47
21	13	47
22	13	46
23	14	45
24	15	45
25	15	44
26	16	43
27	16	43
28	17	42
29	17	41
30	18	41
31	19	40
32	19	39
33	20	39
34	20	38
35	21	37
36	21	37
37	22	37
38	23	36
39	24	36
40	24	35
41	24	34
42	25	33
43	25	33
44	26	32
45	27	31
46	27	31
47	28	30
48	28	30
49	29	29
50	30	28
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	34	23
60	35	22
61	36	22
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	41	16
71	41	16
72	42	15
73	42	15
74	43	14
75	43	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	11
81	47	10
82	48	9
83	48	9
84	49	8
85	49	8
86	50	7
87	51	6
88	51	6
89	52	5
90	53	5
91	53	4
92	54	4
93	54	3
94	55	2
95	55	2
96	56	1
97	57	1
98	57	0
99	58	0
